,Model,Accuracy,Precision,Recall,F1-Score
0,Random Forest,0.9961630060862662,0.9951470168427062,0.9965694682675815,0.9958577346093416
1,KNN,0.9846520243450648,0.9915697674418604,0.9751286449399656,0.9832804842894206
2,SVM,0.9741995236835141,0.97911227154047,0.9648370497427101,0.9719222462203024
